,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,name,naver_url,img_url
0,0,0,0,Toy Story (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=101966,https://movie-phinf.pstatic.net/20190611_117/1560221190708y3bbv_JPEG/movie_image.jpg?type=m203_290_2
1,1,1,0,Jumanji (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=187349,https://movie-phinf.pstatic.net/20191120_230/15742165480563skun_JPEG/movie_image.jpg?type=m203_290_2
2,2,2,0,Grumpier Old Men (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=18917,https://movie-phinf.pstatic.net/20111222_227/1324537859003KoQs1_JPEG/movie_image.jpg?type=m203_290_2
3,3,3,0,Waiting to Exhale (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17798,https://movie-phinf.pstatic.net/20111221_192/1324446167270VkXOp_JPEG/movie_image.jpg?type=m203_290_2
4,4,4,0,Father of the Bride Part II (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17754,https://movie-phinf.pstatic.net/20111222_214/132448977473674Dik_JPEG/movie_image.jpg?type=m203_290_2
5,5,5,0,Heat (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17327,https://movie-phinf.pstatic.net/20171024_181/1508819915187MOzT0_JPEG/movie_image.jpg?type=m203_290_2
6,6,6,0,Sabrina (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=33456,https://movie-phinf.pstatic.net/20111223_110/1324607509907Mcmg0_JPEG/movie_image.jpg?type=m203_290_2
7,7,7,0,Tom and Huck (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=25130,https://movie-phinf.pstatic.net/20111223_162/1324577411403n3pgT_JPEG/movie_image.jpg?type=m203_290_2
8,8,8,0,Sudden Death (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17342,https://movie-phinf.pstatic.net/20111221_7/1324446660294ToDG7_JPEG/movie_image.jpg?type=m203_290_2
9,9,9,0,GoldenEye (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17149,https://movie-phinf.pstatic.net/20111222_264/13244975364353A1B5_JPEG/movie_image.jpg?type=m203_290_2
10,10,10,0,Dracula: Dead and Loving It (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=18649,https://movie-phinf.pstatic.net/20111222_2/1324543285126jFI0X_JPEG/movie_image.jpg?type=m203_290_2
11,11,11,0,Balto (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=64317,0
12,12,12,0,Nixon (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17449,https://movie-phinf.pstatic.net/20111222_202/1324531239882JGPfw_JPEG/movie_image.jpg?type=m203_290_2
13,13,13,0,Cutthroat Island (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17537,https://movie-phinf.pstatic.net/20120221_276/1329791783529Tadgn_JPEG/movie_image.jpg?type=m203_290_2
14,14,14,0,Casino (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=42117,https://movie-phinf.pstatic.net/20111223_28/1324574584370mQIAu_JPEG/movie_image.jpg?type=m203_290_2
15,15,15,0,Sense and Sensibility (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17458,https://movie-phinf.pstatic.net/20111222_44/1324540661147AVIOz_JPEG/movie_image.jpg?type=m203_290_2
16,16,16,0,Four Rooms (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17464,https://movie-phinf.pstatic.net/20111212_208/1323671863317uV15c_JPEG/movie_image.jpg?type=m203_290_2
17,17,17,0,Ace Ventura: When Nature Calls (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17274,https://movie-phinf.pstatic.net/20111212_64/1323671838045KigCa_JPEG/movie_image.jpg?type=m203_290_2
18,18,18,0,Money Train (1995),https://movie.naver.com/movie/bi/mi/basic.nhn?code=17274,https://movie-phinf.pstatic.net/20111212_64/1323671838045KigCa_JPEG/movie_image.jpg?type=m203_290_2
